Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,213421,rh,pial,NA,NA,NA,15,276791,NA
freesurfer,211922,rh,white,NA,NA,NA,0,246862,NA
freesurfer,214524,rh,pial,NA,NA,NA,19,267595,NA
freesurfer,212217,rh,white,NA,NA,NA,0,234781,NA
freesurfer,231928,rh,pial,NA,NA,NA,31,240264,NA
freesurfer,249947,lh,white,NA,NA,NA,0,240905,NA
freesurfer,217126,rh,pial,NA,NA,NA,20,255485,NA
freesurfer,211417,rh,white,NA,NA,NA,0,248608,NA
freesurfer,214726,rh,pial,NA,NA,NA,2,250881,NA
freesurfer,250427,lh,white,NA,NA,NA,0,228101,NA
freesurfer,237334,rh,pial,NA,NA,NA,11,235789,NA
freesurfer,212116,rh,white,NA,NA,NA,0,246845,NA
freesurfer,220721,rh,pial,NA,NA,NA,25,270392,NA
freesurfer,214019,rh,white,NA,NA,NA,0,225557,NA
freesurfer,227432,rh,pial,NA,NA,NA,13,254647,NA
freesurfer,246133,rh,pial,NA,NA,NA,30,230144,NA
freesurfer,245333,rh,pial,NA,NA,NA,16,231852,NA
freesurfer,214221,rh,white,NA,NA,NA,0,233814,NA
freesurfer,236130,rh,pial,NA,NA,NA,20,252111,NA
freesurfer,212419,rh,white,NA,NA,NA,0,248275,NA
freesurfer,239944,rh,pial,NA,NA,NA,4,258254,NA
freesurfer,211215,rh,white,NA,NA,NA,0,304996,NA
freesurfer,221319,rh,white,NA,NA,NA,0,233933,NA
freesurfer,224022,rh,white,NA,NA,NA,0,216667,NA
freesurfer,212823,rh,white,NA,NA,NA,0,270836,NA
freesurfer,212015,rh,white,NA,NA,NA,0,279993,NA
freesurfer,233326,rh,pial,NA,NA,NA,37,279147,NA
freesurfer,221218,rh,white,NA,NA,NA,0,240129,NA
freesurfer,214423,rh,pial,NA,NA,NA,34,329910,NA
freesurfer,228434,rh,white,NA,NA,NA,0,222970,NA
freesurfer,217429,rh,white,NA,NA,NA,0,238701,NA
freesurfer,211720,rh,white,NA,NA,NA,0,300719,NA
freesurfer,248339,rh,pial,NA,NA,NA,14,265753,NA
freesurfer,231928,rh,white,NA,NA,NA,0,240048,NA
freesurfer,214625,rh,white,NA,NA,NA,0,260199,NA
freesurfer,249947,rh,pial,NA,NA,NA,25,240936,NA
freesurfer,213421,rh,white,NA,NA,NA,0,277206,NA
freesurfer,214524,rh,white,NA,NA,NA,0,268201,NA
freesurfer,217126,rh,white,NA,NA,NA,0,254907,NA
freesurfer,250427,rh,pial,NA,NA,NA,20,238790,NA
freesurfer,237334,rh,white,NA,NA,NA,0,235468,NA
freesurfer,214726,rh,white,NA,NA,NA,0,251245,NA
freesurfer,246133,rh,white,NA,NA,NA,0,230719,NA
freesurfer,245333,rh,white,NA,NA,NA,0,231493,NA
freesurfer,227432,rh,white,NA,NA,NA,0,255071,NA
freesurfer,220721,rh,white,NA,NA,NA,0,270745,NA
freesurfer,223929,rh,pial,NA,NA,NA,28,368045,NA
freesurfer,236130,rh,white,NA,NA,NA,0,252653,NA
freesurfer,239944,rh,white,NA,NA,NA,0,257497,NA
freesurfer,250932,lh,pial,NA,NA,NA,11,231185,NA
freesurfer,233326,rh,white,NA,NA,NA,0,281127,NA
