Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
freesurfer,233326,lh,1,280499,281171,./freesurfer_233326_A_mwrm_lh_white.stl,./freesurfer_233326_A_mwrm_lh_pial.stl
freesurfer,214625,rh,14,260199,261120,./freesurfer_214625_A_mwrm_rh_white.stl,./freesurfer_214625_A_mwrm_rh_pial.stl
freesurfer,211215,rh,0,304996,304920,./freesurfer_211215_A_mwrm_rh_white.stl,./freesurfer_211215_A_mwrm_rh_pial.stl
freesurfer,246133,rh,7,230719,230144,./freesurfer_246133_A_mwrm_rh_white.stl,./freesurfer_246133_A_mwrm_rh_pial.stl
freesurfer,248339,lh,77,266296,266866,./freesurfer_248339_A_mwrm_lh_white.stl,./freesurfer_248339_A_mwrm_lh_pial.stl
freesurfer,245333,rh,0,231493,231852,./freesurfer_245333_A_mwrm_rh_white.stl,./freesurfer_245333_A_mwrm_rh_pial.stl
freesurfer,217126,rh,4,254907,255485,./freesurfer_217126_A_mwrm_rh_white.stl,./freesurfer_217126_A_mwrm_rh_pial.stl
freesurfer,214726,rh,0,251245,250881,./freesurfer_214726_A_mwrm_rh_white.stl,./freesurfer_214726_A_mwrm_rh_pial.stl
freesurfer,214524,rh,15,268201,267595,./freesurfer_214524_A_mwrm_rh_white.stl,./freesurfer_214524_A_mwrm_rh_pial.stl
freesurfer,211720,rh,0,300719,301439,./freesurfer_211720_A_mwrm_rh_white.stl,./freesurfer_211720_A_mwrm_rh_pial.stl
freesurfer,213421,rh,0,277206,276791,./freesurfer_213421_A_mwrm_rh_white.stl,./freesurfer_213421_A_mwrm_rh_pial.stl
freesurfer,227432,rh,4,255071,254647,./freesurfer_227432_A_mwrm_rh_white.stl,./freesurfer_227432_A_mwrm_rh_pial.stl
freesurfer,214423,lh,7,322569,322186,./freesurfer_214423_A_mwrm_lh_white.stl,./freesurfer_214423_A_mwrm_lh_pial.stl
freesurfer,236130,rh,0,252653,252111,./freesurfer_236130_A_mwrm_rh_white.stl,./freesurfer_236130_A_mwrm_rh_pial.stl
freesurfer,220721,rh,40,270745,270392,./freesurfer_220721_A_mwrm_rh_white.stl,./freesurfer_220721_A_mwrm_rh_pial.stl
freesurfer,239944,rh,300,257497,258254,./freesurfer_239944_A_mwrm_rh_white.stl,./freesurfer_239944_A_mwrm_rh_pial.stl
freesurfer,249947,rh,0,240953,240936,./freesurfer_249947_A_mwrm_rh_white.stl,./freesurfer_249947_A_mwrm_rh_pial.stl
freesurfer,250427,rh,598,237896,238790,./freesurfer_250427_A_mwrm_rh_white.stl,./freesurfer_250427_A_mwrm_rh_pial.stl
freesurfer,248339,rh,45,265408,265753,./freesurfer_248339_A_mwrm_rh_white.stl,./freesurfer_248339_A_mwrm_rh_pial.stl
freesurfer,233326,rh,0,281127,279147,./freesurfer_233326_A_mwrm_rh_white.stl,./freesurfer_233326_A_mwrm_rh_pial.stl
freesurfer,223929,lh,53,361602,362822,./freesurfer_223929_A_mwrm_lh_white.stl,./freesurfer_223929_A_mwrm_lh_pial.stl
freesurfer,214423,rh,0,329820,329910,./freesurfer_214423_A_mwrm_rh_white.stl,./freesurfer_214423_A_mwrm_rh_pial.stl
freesurfer,250932,lh,2,230106,231185,./freesurfer_250932_A_mwrm_lh_white.stl,./freesurfer_250932_A_mwrm_lh_pial.stl
freesurfer,223929,rh,11,369115,368045,./freesurfer_223929_A_mwrm_rh_white.stl,./freesurfer_223929_A_mwrm_rh_pial.stl
freesurfer,250932,rh,5,234766,235408,./freesurfer_250932_A_mwrm_rh_white.stl,./freesurfer_250932_A_mwrm_rh_pial.stl
freesurfer,255639,lh,74,224943,225189,./freesurfer_255639_A_mwrm_lh_white.stl,./freesurfer_255639_A_mwrm_lh_pial.stl
freesurfer,256540,lh,2,241029,241343,./freesurfer_256540_A_mwrm_lh_white.stl,./freesurfer_256540_A_mwrm_lh_pial.stl
freesurfer,251833,lh,70,287383,287127,./freesurfer_251833_A_mwrm_lh_white.stl,./freesurfer_251833_A_mwrm_lh_pial.stl
freesurfer,275645,lh,0,233962,234876,./freesurfer_275645_A_mwrm_lh_white.stl,./freesurfer_275645_A_mwrm_lh_pial.stl
freesurfer,257542,lh,9,256630,256692,./freesurfer_257542_A_mwrm_lh_white.stl,./freesurfer_257542_A_mwrm_lh_pial.stl
freesurfer,280739,lh,92,231055,231564,./freesurfer_280739_A_mwrm_lh_white.stl,./freesurfer_280739_A_mwrm_lh_pial.stl
freesurfer,297655,lh,58,204343,205520,./freesurfer_297655_A_mwrm_lh_white.stl,./freesurfer_297655_A_mwrm_lh_pial.stl
freesurfer,268850,lh,10,253701,254023,./freesurfer_268850_A_mwrm_lh_white.stl,./freesurfer_268850_A_mwrm_lh_pial.stl
freesurfer,255639,rh,26,225215,224553,./freesurfer_255639_A_mwrm_rh_white.stl,./freesurfer_255639_A_mwrm_rh_pial.stl
freesurfer,289555,lh,11,206942,207454,./freesurfer_289555_A_mwrm_lh_white.stl,./freesurfer_289555_A_mwrm_lh_pial.stl
freesurfer,293748,lh,778,214421,215425,./freesurfer_293748_A_mwrm_lh_white.stl,./freesurfer_293748_A_mwrm_lh_pial.stl
freesurfer,257845,lh,89,270686,270680,./freesurfer_257845_A_mwrm_lh_white.stl,./freesurfer_257845_A_mwrm_lh_pial.stl
freesurfer,263436,lh,38,269716,269982,./freesurfer_263436_A_mwrm_lh_white.stl,./freesurfer_263436_A_mwrm_lh_pial.stl
freesurfer,285345,lh,5,233671,234641,./freesurfer_285345_A_mwrm_lh_white.stl,./freesurfer_285345_A_mwrm_lh_pial.stl
freesurfer,256540,rh,2,243159,242873,./freesurfer_256540_A_mwrm_rh_white.stl,./freesurfer_256540_A_mwrm_rh_pial.stl
freesurfer,295146,lh,40,237706,237971,./freesurfer_295146_A_mwrm_lh_white.stl,./freesurfer_295146_A_mwrm_lh_pial.stl
freesurfer,280941,lh,57,258973,258133,./freesurfer_280941_A_mwrm_lh_white.stl,./freesurfer_280941_A_mwrm_lh_pial.stl
freesurfer,283543,lh,128,261353,262645,./freesurfer_283543_A_mwrm_lh_white.stl,./freesurfer_283543_A_mwrm_lh_pial.stl
freesurfer,297655,rh,0,203993,203931,./freesurfer_297655_A_mwrm_rh_white.stl,./freesurfer_297655_A_mwrm_rh_pial.stl
freesurfer,284646,lh,20,256308,257195,./freesurfer_284646_A_mwrm_lh_white.stl,./freesurfer_284646_A_mwrm_lh_pial.stl
freesurfer,275645,rh,7,234724,234405,./freesurfer_275645_A_mwrm_rh_white.stl,./freesurfer_275645_A_mwrm_rh_pial.stl
freesurfer,251833,rh,6,292075,291623,./freesurfer_251833_A_mwrm_rh_white.stl,./freesurfer_251833_A_mwrm_rh_pial.stl
freesurfer,280739,rh,14,230294,229793,./freesurfer_280739_A_mwrm_rh_white.stl,./freesurfer_280739_A_mwrm_rh_pial.stl
freesurfer,289555,rh,11,208321,208183,./freesurfer_289555_A_mwrm_rh_white.stl,./freesurfer_289555_A_mwrm_rh_pial.stl
freesurfer,293748,rh,12,207924,207766,./freesurfer_293748_A_mwrm_rh_white.stl,./freesurfer_293748_A_mwrm_rh_pial.stl
