idx,f1,intersections,pial-traingles,white-traingles
81,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/251833_epoch81_struc2_meshpred.ply,1558,84028,84028
82,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/255639_epoch81_struc2_meshpred.ply,1523,84028,84028
83,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/256540_epoch81_struc2_meshpred.ply,1521,84028,84028
84,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/257542_epoch81_struc2_meshpred.ply,2013,84028,84028
85,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/257845_epoch81_struc2_meshpred.ply,1452,84028,84028
86,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/263436_epoch81_struc2_meshpred.ply,1712,84028,84028
87,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/268749_epoch81_struc2_meshpred.ply,1460,84028,84028
88,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/268850_epoch81_struc2_meshpred.ply,1637,84028,84028
89,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/270332_epoch81_struc2_meshpred.ply,1368,84028,84028
90,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/275645_epoch81_struc2_meshpred.ply,1422,84028,84028
91,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/280739_epoch81_struc2_meshpred.ply,1355,84028,84028
92,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/280941_epoch81_struc2_meshpred.ply,1885,84028,84028
93,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/283543_epoch81_struc2_meshpred.ply,1339,84028,84028
94,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/284646_epoch81_struc2_meshpred.ply,1344,84028,84028
95,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/285345_epoch81_struc2_meshpred.ply,1545,84028,84028
